epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,1466.96,1.39168,0.6155,0.98092,0.93515,0.86986,0.92868,0.60415,1.27191,0.54052,0.9908,0.00081784,0.00081784,0.00081784
94,1482.82,1.38265,0.60529,0.97548,0.93275,0.87051,0.93358,0.60802,1.26754,0.53464,0.99184,0.00081586,0.00081586,0.00081586
95,1498.51,1.38893,0.61209,0.97787,0.92999,0.8762,0.93575,0.60395,1.28253,0.54081,0.99335,0.00081388,0.00081388,0.00081388
96,1514.26,1.37959,0.60588,0.97763,0.93413,0.86589,0.93068,0.61326,1.28219,0.5475,0.99545,0.0008119,0.0008119,0.0008119
97,1530.31,1.39542,0.61094,0.9766,0.92875,0.87249,0.93293,0.6044,1.29333,0.54214,0.99731,0.00080992,0.00080992,0.00080992
98,1545.97,1.38275,0.60566,0.97685,0.9288,0.88564,0.93734,0.60649,1.27473,0.53899,0.9922,0.00080794,0.00080794,0.00080794
99,1561.77,1.39189,0.60588,0.97332,0.92997,0.8836,0.93842,0.60906,1.26851,0.53677,0.98911,0.00080596,0.00080596,0.00080596
100,1577.56,1.38802,0.60969,0.97564,0.93275,0.87664,0.93713,0.61085,1.26823,0.53322,0.98986,0.00080398,0.00080398,0.00080398
101,1593.34,1.37794,0.60446,0.97598,0.9202,0.88136,0.93519,0.6042,1.28335,0.53558,0.99846,0.000802,0.000802,0.000802
102,1609.09,1.39353,0.60882,0.97795,0.93375,0.86863,0.93538,0.60707,1.27102,0.53796,0.98837,0.00080002,0.00080002,0.00080002
103,1624.55,1.38274,0.60371,0.97227,0.92462,0.88225,0.93747,0.60812,1.26143,0.52647,0.98819,0.00079804,0.00079804,0.00079804
104,1640.13,1.38204,0.60652,0.97649,0.9332,0.87431,0.93335,0.61269,1.26998,0.52773,0.98823,0.00079606,0.00079606,0.00079606
105,1655.83,1.3821,0.60527,0.97453,0.92549,0.88143,0.93871,0.61161,1.27359,0.52914,0.98899,0.00079408,0.00079408,0.00079408
106,1671.38,1.37774,0.60227,0.97448,0.92633,0.88471,0.93883,0.61344,1.27827,0.53138,0.9971,0.0007921,0.0007921,0.0007921
107,1687.07,1.37501,0.59985,0.97191,0.92005,0.89079,0.93575,0.61337,1.27098,0.52951,0.99144,0.00079012,0.00079012,0.00079012
108,1702.88,1.38516,0.6032,0.97687,0.93144,0.88175,0.93666,0.61149,1.27016,0.52976,0.99126,0.00078814,0.00078814,0.00078814
109,1718.57,1.37943,0.6024,0.97452,0.92763,0.88633,0.93837,0.60951,1.26922,0.52584,0.98828,0.00078616,0.00078616,0.00078616
110,1734.02,1.36994,0.59787,0.97316,0.92072,0.8855,0.93737,0.61448,1.25832,0.52848,0.98479,0.00078418,0.00078418,0.00078418
111,1749.59,1.37402,0.60367,0.97268,0.92206,0.88715,0.93498,0.60655,1.26463,0.53569,0.98913,0.0007822,0.0007822,0.0007822
112,1765.35,1.38207,0.60459,0.9728,0.92754,0.8802,0.93884,0.61335,1.2711,0.53266,0.9901,0.00078022,0.00078022,0.00078022
113,1780.8,1.37583,0.6001,0.97299,0.91658,0.89433,0.93975,0.61501,1.26639,0.52708,0.98875,0.00077824,0.00077824,0.00077824
114,1796.74,1.38366,0.60196,0.97425,0.92812,0.88766,0.94052,0.61843,1.25827,0.52473,0.98566,0.00077626,0.00077626,0.00077626
115,1812.75,1.37162,0.59972,0.97574,0.92161,0.88627,0.93532,0.60955,1.2615,0.52869,0.98883,0.00077428,0.00077428,0.00077428
116,1828.45,1.38245,0.6014,0.97542,0.92144,0.88759,0.93596,0.61123,1.27271,0.52355,0.98713,0.0007723,0.0007723,0.0007723
117,1844.26,1.37415,0.59992,0.97414,0.91943,0.88581,0.93592,0.61209,1.2574,0.52275,0.98333,0.00077032,0.00077032,0.00077032
118,1859.95,1.37343,0.60265,0.97227,0.92218,0.88756,0.93708,0.61285,1.2617,0.52372,0.98679,0.00076834,0.00076834,0.00076834
119,1875.56,1.37627,0.59814,0.9692,0.92823,0.88105,0.93915,0.61509,1.27291,0.5338,0.98977,0.00076636,0.00076636,0.00076636
120,1891.22,1.36873,0.59739,0.97249,0.91617,0.89172,0.93859,0.61518,1.26408,0.52047,0.98865,0.00076438,0.00076438,0.00076438
121,1906.89,1.36942,0.59811,0.9703,0.93131,0.88034,0.93396,0.61088,1.27167,0.52311,0.99016,0.0007624,0.0007624,0.0007624
122,1922.56,1.37201,0.59767,0.97026,0.93402,0.87948,0.93498,0.6147,1.27251,0.52293,0.99311,0.00076042,0.00076042,0.00076042
123,1938.62,1.37608,0.60135,0.97198,0.92199,0.89358,0.93937,0.61408,1.28031,0.5254,0.99695,0.00075844,0.00075844,0.00075844
124,1954.34,1.37013,0.59381,0.97156,0.92636,0.88937,0.93914,0.61572,1.26936,0.51787,0.993,0.00075646,0.00075646,0.00075646
